S0:
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 
22:  0  6  4  6  2  2  4  4  6  6  2  2  4  2  6  8 
23:  4  6  6  4  2  2  0  8  0  0  2 10  4  2  6  8 
24:  0  8  8  4  8  6  0  2  0  8  0  0  6  4  2  8 
25:  4  2  0  8  4  2  6  2  6  0 10  2  6  4  8  0 
26:  0  6  8  2  4  2  4  2  2  2  2  6  4  4  4 12 
27: 10  0  6  2  2  6  0 10  6  2  2  4  2  4  4  4 
28:  0  4 10  2  8  0  4  4 10  4  4  2  2  0 10  0 
29:  2  8  8  2  8  4  8  0  2  2  2  6  2  4  4  2 
30:  0  2 10  2  8  6  4  0 10  2  8  2  4  4  0  2 
31:  4  2  2  0  2  8  2  4 10  6  0  4  2  6 10  2 
32:  0  2  2  2  2 10  0  2  2  8  0  8 10  2  4 10 
33:  2  0  4  8  2  2  2  4  2 10  4  2  8  2  4  8 
34:  0 10  8  6  2  2 10  2  2  8  2  0  0  0  0 12 
35:  6  4  6  4  4  6  2  0  2  8  4  2  6  4  2  4 
36:  6  6  0  0  4  8  0  4  4  4  4  8  4  0  6  6 
37:  0  0  0  8  0  4  8  4 10  4  0  6  4  6  6  4 
38:  0  4  4  8  2  2  8  4  8  0  6  6  0  0  4  8 
39:  0  4  6  6  6 12  4  2  4  2  0 10  4  4  0  0 
40: 12  0  4  2  6 10  4  6  4  4  0  2  4  0  2  4 
41: 12  4  0  6  4  6  4  4  8  2  2  2  4  0  2  4 
42:  0  0  0 10  2  4  8  0  4  4  8  6  8  6  2  2 
43:  8  4  4  0  2  2 10  2  2  4  4  6  8  2  2  4 
44: 12  2 10  2  0  2  2  6  2  0 10  6  0  2  8  0 
45:  2  2 12  4  6  2  6  6  0  6  6  0  4  6  0  2 
46:  6  8  0  2 10  2  4  0  2  0  6  0 10 10  2  2 
47:  2 10  0  0  0  2  4  6  4  4  4  4 10  0  8  6 
48:  2  2  6  4  4  4  8  2  8 10  4  4  2  0  2  2 
49:  4  4  4  6 14  6  2  0  4  2 10  2  2  4  0  0 
50:  2  0  6  2  8  4  2  8 10  2  6  0  4  2  2  6 
51:  4  0  4  0  4  4  2  6  2  6  2  6  0  4 10 10 
52:  2  6  6  6  6  0  4  6  0  2  2  0  6  2 10  6 
53:  8  4  2  4  6  2  4  2  4  2  6  2  2  8  8  0 
54:  8  6  8  0  4  2  0  0  6  6  0  2  2 14  4  2 
55:  8  0 10  4  0  4  0  6  4  2  2  6  2  4 10  2 
56:  4  4  8 10  0  2  2  2  2  8  6  2  4  4  2  4 
57:  0 10  2  4  0  2  6  0  2  2  8  4  0  8  6 10 
58:  4  2  2  4  4  4  6  6  4  4  2  2  4 10  6  0 
59:  4  6  4  4  2  8  4  8  2  2  2  4  8  4  2  0 
60:  2  2  0  2  6  8  4  4  2  4  2  6  6 10  6  0 
61:  0  8  0  4  8  0  4  8  6  4  4  2  0  6  2  8 
